id,group_id,formula,smiles,heavy_atoms,formation_energy_hartree,formation_energy_kcalmol,energy_rel_kcalmol,source
104084404,C20H22N2O2,C20H22N2O2,[H:26][c:6]1[c:7]([c:10]([c:15]([c:11]([c:8]1[H:28])[H:31])[C:21]([H:40])([H:41])[N:18](/[C:5](=[N:2]/[c:14]2[c:9]([c:12]([c:16]3[c:17]([c:13]2[H:33])[C:23]([C:24]([C:22]3([H:42])[H:43])([H:45])[H:46])([H:44])[O:3][C:4](=[O:1])[C:19]([H:34])([H:35])[H:36])[H:32])[H:29])/[H:25])[C:20]([H:37])([H:38])[H:39])[H:30])[H:27],24,-8.137536293798803,-5106.377262185393,0.0,SPICE-2.0.1/PubChem
104156377,C20H22N2O2,C20H22N2O2,[N:1]1=[C:4]([C:21]([H:39])([H:40])[H:41])[C:5]([H:26])=[C:6]([C:23]([C:24]([O:3][H:25])([c:18]2[c:14]([H:34])[c:8]([H:28])[c:7]([H:27])[c:9]([H:29])[c:15]2[H:35])[H:46])([H:44])[H:45])[N:19]1[C:22]([c:17]1[c:12]([H:32])[c:10]([H:30])[c:16]([O:2][C:20]([H:36])([H:37])[H:38])[c:11]([H:31])[c:13]1[H:33])([H:42])[H:43],24,-8.113075261719814,-5091.027744406539,15.349517778854533,SPICE-2.0.1/PubChem
104001983,C20H22N2O2,C20H22N2O2,[H:27][c:11]1[c:12]([c:14]([c:16]([c:15]([c:13]1[H:29])[H:31])[C:22]([H:41])([H:42])[N:18]2[C:21](/[C:10](=[C:9](/[H:26])\[C:6]3=[C:8]([N:17]([C:7](=[C:5]3[C:3](=[O:1])[H:25])[C:19]([H:33])([H:34])[H:35])[H:32])[C:20]([H:36])([H:37])[H:38])/[C:4](=[O:2])[C:23]([C:24]2([H:45])[H:46])([H:43])[H:44])([H:39])[H:40])[H:30])[H:28],24,-8.10364591725579,-5085.110745891264,21.26651629412936,SPICE-2.0.1/PubChem
117644367,C20H22N2O2,C20H22N2O2,[O:1]=[C:4]([O:3]/[N:2]=[C:5](/[c:15]1[c:10]([H:29])[c:9]([H:28])[c:13]([H:32])[c:17](-[c:16]2[c:11]([H:30])[c:7]([H:26])[c:6]([H:25])[c:8]([H:27])[c:12]2[H:31])[c:14]1[H:33])[C:19]([H:34])([H:35])[H:36])[N:18]1[C:20]([H:37])([H:38])[C:22]([H:41])([H:42])[C:24]([H:45])([H:46])[C:23]([H:43])([H:44])[C:21]1([H:39])[H:40],24,-8.094829224964542,-5079.578192128275,26.799070057118115,SPICE-2.0.1/PubChem
104011301,C20H22N2O2,C20H22N2O2,[O:1]=[N:2][C:17]1([H:32])[c:14]2[c:9]([H:30])[c:5]([H:26])[c:4]([H:25])[c:7]([H:28])[c:12]2-[c:13]2[c:8]([H:29])[c:6]([H:27])[c:11]([O:3][C:24]3([H:46])[C:20]([H:38])([H:39])[N:16]([C:18]([H:33])([H:34])[H:35])[C:19]([H:36])([H:37])[C:21]([H:40])([H:41])[C:22]([H:42])([H:43])[C:23]3([H:44])[H:45])[c:10]([H:31])[c:15]21,24,-8.031564020021733,-5039.878706639818,66.49855554557507,SPICE-2.0.1/PubChem
104034041,C20H25N3O2,C20H25N3O2,[H:30][c:10]1[c:9]([c:14]([c:12]([c:11]([c:15]1[C:19]([H:35])([H:36])[O:3][H:26])[H:31])[c:5]2[c:7]([c:8]([c:13]3[c:6]([n:2]2)[N:16]([C:4](=[O:1])[N:17]3[C:24]([H:49])([H:50])[C:25]([C:21]([H:40])([H:41])[H:42])([C:22]([H:43])([H:44])[H:45])[C:23]([H:46])([H:47])[H:48])[C:20]([H:37])([H:38])[H:39])[H:28])[H:27])[C:18]([H:32])([H:33])[H:34])[H:29],25,-8.662297560216984,-5435.669679714199,0.0,SPICE-2.0.1/PubChem
104022262,C20H25N3O2,C20H25N3O2,[O:1]=[C:3]1[c:11]2[c:9]([H:28])[c:7]([H:26])[c:8]([H:27])[c:10]([H:29])[c:12]2[C:6]2=[C:5]([N:13]1[H:30])[C:16]([H:31])([H:32])[N:14]([C:4](=[O:2])[C:18]([C:20]([N:15]1[C:21]([H:41])([H:42])[C:23]([H:45])([H:46])[C:25]([H:49])([H:50])[C:24]([H:47])([H:48])[C:22]1([H:43])[H:44])([H:39])[H:40])([H:35])[H:36])[C:19]([H:37])([H:38])[C:17]2([H:33])[H:34],25,-8.645618993550897,-5425.203729024131,10.465950690068894,SPICE-2.0.1/PubChem
104076674,C20H25N3O2,C20H25N3O2,[H:26][c:10]1[c:11]([c:13]([c:15]([c:14]([c:12]1[H:28])[H:30])[N:16]([H:31])[C:4](=[O:1])[O:3]/[N:2]=[C:9]\2/[C:5]3=[C:8]([C:23]([C:25]([C:24]2([H:47])[H:48])([H:49])[H:50])([H:45])[H:46])[N:17]([C:7](=[C:6]3[C:21]([H:41])([H:42])[C:19]([H:35])([H:36])[H:37])[C:22]([H:43])([H:44])[C:20]([H:38])([H:39])[H:40])[C:18]([H:32])([H:33])[H:34])[H:29])[H:27],25,-8.587699482350672,-5388.858714470388,46.81096524381155,SPICE-2.0.1/PubChem
104096992,C20H25N3O2,C20H25N3O2,[H:27][c:7]1[c:6]([c:8]([c:10]2[c:11]([c:9]1[H:29])[C:15]([C:16]([C:14]([O:4]2)([H:32])[H:33])([H:35])[H:36])([H:34])[N:12]3[C:21]([C@@:24]([C@@:25]([C:22]3([H:46])[H:47])([H:50])[N:13]([H:30])[H:31])([H:49])[C:5](=[O:2])[C:20]4([C@:23]([C:19]([C:17]([C:18]4([H:39])[H:40])([H:37])[H:38])([H:41])[H:42])([H:48])[C:3]#[N:1])[H:43])([H:44])[H:45])[H:28])[H:26],25,-8.582875672829232,-5385.831730581399,49.83794913280053,SPICE-2.0.1/PubChem
104054104,C20H22O6,C20H22O6,[O:1]=[C:7]1[O:3][c:13]2[c:10]([H:31])[c:18]([C:21]([H:36])([H:37])[H:38])[c:9]([H:30])[c:12]([O:2][H:27])[c:14]2[O:4][c:15]2[c:8]([H:29])[c:11]([H:32])[c:19]([C@@:26]([O:6][H:28])([C:25]([C:24]([C:22]([H:39])([H:40])[H:41])([C:23]([H:42])([H:43])[H:44])[H:45])([H:46])[H:47])[H:48])[c:16]([O:5][C:20]([H:33])([H:34])[H:35])[c:17]21,26,-8.423628912712047,-5285.902955387024,0.0,SPICE-2.0.1/PubChem
104001731,C20H22O6,C20H22O6,[O:1]=[C:7]1[C:10]([c:17]2[c:14]([H:35])[c:12]([H:33])[c:15]([O:2][H:27])[c:13]([H:34])[c:16]2[O:3][H:28])=[C:9]([H:32])[O:4][C:22]2([H:44])[C:20]([H:40])([H:41])[C:23]3([H:45])[O:5][C:19]([C:11](=[C:8]([H:30])[H:31])[C:18]([H:36])([H:37])[H:38])([H:39])[C:21]([H:42])([H:43])[C:26]3([H:48])[C:24]([O:6][H:29])([H:46])[C:25]12[H:47],26,-8.421338774802962,-5284.465873237832,1.4370821491920651,SPICE-2.0.1/PubChem
104010529,C20H22O6,C20H22O6,[H:27][C:4]#[C:5][C:22]([H:39])([H:40])[C:24]([H:43])([H:44])[C:26]([H:47])([H:48])[C:25]([H:45])([H:46])[C:23]([H:41])([H:42])[O:8][C:9](=[O:1])/[C:12](=[C:13](\[H:29])/[c:19]1[c:15]([c:14]([c:17]([c:18]([c:16]1[H:32])[O:7][C:11](=[O:3])[C:21]([H:36])([H:37])[H:38])[O:6][C:10](=[O:2])[C:20]([H:33])([H:34])[H:35])[H:30])[H:31])/[H:28],26,-8.388326455720971,-5263.750345903011,22.152609484012828,SPICE-2.0.1/PubChem
135021832,C20H22O6,C20H22O6,[H:46][C@:20]12[C:10]3=[C:9]([C:7](=[O:1])[O:3][C:11]3([H:27])[H:28])[C:14]([C:18]([C@@:25]1([C@@:26]45[C@@:23]([O:6]4)([C@:22]6([C@:21]([O:4]6)([C:8](=[O:2])[C@:24]57[C@:19]([C:15]2([H:37])[H:38])([O:5]7)[H:45])[C:16]([H:39])([C:12]([H:29])([H:30])[H:31])[C:13]([H:32])([H:33])[H:34])[H:47])[H:48])[C:17]([H:40])([H:41])[H:42])([H:43])[H:44])([H:35])[H:36],26,-8.29315514640075,-5204.029492762788,81.8734626242358,SPICE-2.0.1/PubChem
125086910,C20H26N2O2,C20H26N2O2,[O:1]=[C:4]([O:3][H:25])[C:19]([c:14]1[c:5]([C:17]([H:32])([H:33])[H:34])[n:2][c:6]([C:23]([C:24]([C:21]([H:42])([H:43])[H:44])([C:22]([H:45])([H:46])[H:47])[H:50])([H:48])[H:49])[c:15]([C:20]([N:16]([H:30])[H:31])([H:40])[H:41])[c:12]1-[c:11]1[c:7]([H:26])[c:9]([H:28])[c:13]([C:18]([H:35])([H:36])[H:37])[c:10]([H:29])[c:8]1[H:27])([H:38])[H:39],24,-8.595886838663773,-5393.996354243066,0.0,SPICE-2.0.1/PubChem
104105879,C20H26N2O2,C20H26N2O2,[H:28][c:11]1[c:12]([c:14]([c:16]([c:15]([c:13]1[H:30])[H:32])/[C:6](=[C:5](\[H:25])/[c:9]2[c:10]([c:8]([n:1][c:7]([n:2]2)[O:3][C:21]([H:45])([H:46])[C:23]([H:49])([C:17]([H:33])([H:34])[H:35])[C:18]([H:36])([H:37])[H:38])[O:4][C:22]([H:47])([H:48])[C:24]([H:50])([C:19]([H:39])([H:40])[H:41])[C:20]([H:42])([H:43])[H:44])[H:27])/[H:26])[H:31])[H:29],24,-8.546436933279665,-5362.966093565389,31.03026067767678,SPICE-2.0.1/PubChem
104020170,C20H26N2O2,C20H26N2O2,[H:26][c:5]1[c:6]([c:9]([c:7]([c:10]2[c:8]1[C:4](=[O:2])[C:22]3([C@:24]([C@@:23]2([C:20]([C:15]([N:12]3[C:14]([H:33])([H:34])[C:18]4([C:16]([C:17]4([H:39])[H:40])([H:37])[H:38])[H:41])([H:35])[H:36])([H:44])[H:45])[C:19]([H:42])([H:43])[C:13]([H:30])([H:31])[H:32])([H:50])[C:21]([H:46])([H:47])[H:48])[H:49])[H:28])[N:11]([H:29])[C:3](=[O:1])[H:25])[H:27],24,-8.53590478765068,-5356.35707739389,37.639276849175985,SPICE-2.0.1/PubChem
104062354,C20H26N2O2,C20H26N2O2,[H:29][c:10]1[c:8]([c:6]([n:3][c:7]([c:9]1[H:28])[C:13]([C:1]#[C:2][C:22]2([C:16]([N:11]3[C:14]([C:20]([C:24]2([C:21]([C:15]3([H:35])[H:36])([H:47])[H:48])[H:50])([H:45])[H:46])([H:33])[H:34])([H:37])[H:38])[O:5][C:12]([H:30])([H:31])[H:32])([C:23]4([C:18]([C:17]([C:19]4([H:43])[H:44])([H:39])[H:40])([H:41])[H:42])[H:49])[O:4][H:25])[H:26])[H:27],24,-8.421175402832432,-5284.363355855977,109.63299838708917,SPICE-2.0.1/PubChem
104106121,C11H21B1N2O4,C11H21B1N2O4,[O:1]=[C:6]([N:9]([C@:18]([C:7](=[O:2])[N:8]1[C:13]([H:31])([H:32])[C:14]([H:33])([H:34])[C:15]([H:35])([H:36])[C@:17]1([B:5]([O:3][H:19])[O:4][H:20])[H:38])([C:16]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[H:37])[H:39])[H:21])[C:10]([H:22])([H:23])[H:24],18,-6.369703530148513,-3997.0462924999633,0.0,SPICE-2.0.1/PubChem
104080828,C11H21B1N2O4,C11H21B1N2O4,[O:1]=[C:6]([N:9]1[C:14]([H:33])([H:34])[C:15]([H:35])([H:36])[C:17]([H:37])([H:38])[C@:18]1([B:5]([O:3][H:19])[O:4][H:20])[H:39])[C:10]([N:8]([C:7](=[O:2])[C:16]([C:11]([H:24])([H:25])[H:26])([C:12]([H:27])([H:28])[H:29])[C:13]([H:30])([H:31])[H:32])[H:21])([H:22])[H:23],18,-6.369060410507586,-3996.642729137205,0.4035633627581774,SPICE-2.0.1/PubChem
104080839,C11H21B1N2O4,C11H21B1N2O4,[O:1]=[C:6]([N:9]1[C:14]([H:32])([H:33])[C:15]([H:34])([H:35])[C:17]([H:37])([H:38])[C@:18]1([B:5]([O:3][H:19])[O:4][H:20])[H:39])[C:11]([N:8]([C:7](=[O:2])[C:16]([C:12]([H:26])([H:27])[H:28])([C:13]([H:29])([H:30])[H:31])[H:36])[C:10]([H:21])([H:22])[H:23])([H:24])[H:25],18,-6.351222129398366,-3985.449047196639,11.597245303324144,SPICE-2.0.1/PubChem
135063291,C15H24O1,C15H24O1,[H:26][C:5]1([C:9]([C:15]23[C:10]([C:8]([C:14]([C:7]1([H:30])[H:31])([C:16]2([C:11]([C:6]([C:12]4([C:13]3([O:1]4)[C:2]([H:17])([H:18])[H:19])[H:40])([H:28])[H:29])([H:38])[H:39])[C:4]([H:23])([H:24])[H:25])[C:3]([H:20])([H:21])[H:22])([H:32])[H:33])([H:36])[H:37])([H:34])[H:35])[H:27],16,-6.522511182182143,-4092.9344694199344,0.0,SPICE-2.0.1/PubChem
135068419,C15H24O1,C15H24O1,[H:31][C:7]1([C:9]([C:14]23[C:10]([O:1]2)([C:6]([C:8]([C:12]([C:16]3([C:13]4([C:11]1([C:15]4([C:3]([H:20])([H:21])[H:22])[C:4]([H:23])([H:24])[H:25])[H:38])[H:40])[C:5]([H:26])([H:27])[H:28])([H:39])[C:2]([H:17])([H:18])[H:19])([H:33])[H:34])([H:29])[H:30])[H:37])([H:35])[H:36])[H:32],16,-6.479824060748683,-4066.1479165363457,26.786552883588683,SPICE-2.0.1/PubChem
135042249,C15H24O1,C15H24O1,[H:17]/[C:2]/1=[C:5](\[C:15]([C:11]([C:12]2([C:13]([O:1]2)([C:16]([C:10](/[C:3](=[C:4](/[C:14]([C:9]1([H:30])[H:31])([H:38])[C:6]([H:21])([H:22])[H:23])\[H:19])/[H:18])([H:32])[H:33])([H:40])[C:8]([H:27])([H:28])[H:29])[H:37])[H:36])([H:34])[H:35])([H:39])[C:7]([H:24])([H:25])[H:26])/[H:20],16,-6.461207875384275,-4054.4660926745114,38.46837674542303,SPICE-2.0.1/PubChem
104006605,C21H20N6O2S1,C21H20N6O2S1,[O:1]=[S:30](=[O:2])([c:24]1[c:9]([H:33])[n:5][c:8]([H:32])[c:10]([H:34])[c:18]1[H:42])[N:27]([c:22]1[c:14]([H:38])[c:13]([H:37])[c:21]2[c:19]([c:15]1[H:39])[N:4]=[C:7]([C:28]([c:23]1[c:16]([H:40])[c:11]([H:35])[c:20]([C:6](=[N:3][H:31])[N:25]([H:43])[H:44])[c:12]([H:36])[c:17]1[H:41])([H:46])[H:47])[N:26]2[C:29]([H:48])([H:49])[H:50])[H:45],30,-8.949410433220692,-5615.835591539883,0.0,SPICE-2.0.1/PubChem
123110714,C21H20N6O2S1,C21H20N6O2S1,[H:34][c:11]1[c:13]([c:20]([c:14]([c:18]([c:12]1[H:35])[O:5][H:31])[H:37])[c:8]2[c:10]([c:9]([n:4][c:7]([n:3]2)[N:25]3[C:27]([C:29]([S:26](=[O:1])[C:30]([C:28]3([H:45])[H:46])([H:49])[H:50])([H:47])[H:48])([H:43])[H:44])[N:24]([H:42])[c:22]4[c:16]([c:15]([c:21]5[c:19]([c:17]4[H:40])[C:6](=[N:2][N:23]5[H:41])[H:32])[H:38])[H:39])[H:33])[H:36],30,-8.936561339601894,-5607.772669652245,8.062921887638367,SPICE-2.0.1/PubChem
104079237,C21H20N6O2S1,C21H20N6O2S1,[H:38][c:18]1[c:19]([c:21]([c:23]([c:22]([c:20]1[H:40])[H:42])[c:15]2[n:3][c:16]([c:24]([c:17]([n:4]2)[H:37])[C:28]([H:45])([H:46])[N:27]([H:44])[C:30]([H:49])([H:50])[C:29]([H:47])([H:48])[N:26]3[C:14](=[C:11]([C:8](=[N:2]3)[C:13]4=[C:10]([C:9](=[C:12]([S:6]4)[C:7](=[O:1])[N:25]([H:43])[O:5][H:31])[H:32])[H:33])[H:34])[H:35])[H:36])[H:41])[H:39],30,-8.871218807914602,-5566.769642935684,49.06594860419955,SPICE-2.0.1/PubChem
104109492,C22H22N4O2,C22H22N4O2,[H:29][c:10]1[c:12]([c:16]([c:20]([c:17]([c:13]1[H:32])[H:36])[C:24]([H:40])([H:41])[O:4][c:19]2[c:15]([c:11]([c:14]([c:18]([c:21]2[C:25]([H:42])([H:43])[C:7]3=[N:3][C:8]4=[C:9]([N:22]([N:2]=[C:6]4[C:5](=[O:1])[N:23]3[H:39])[H:38])[C:28]([H:50])([C:26]([H:44])([H:45])[H:46])[C:27]([H:47])([H:48])[H:49])[H:37])[H:33])[H:30])[H:34])[H:35])[H:31],28,-8.994984790429271,-5644.433910857481,0.0,SPICE-2.0.1/PubChem
103991874,C22H22N4O2,C22H22N4O2,[H:32][c:12]1[c:13]([c:17]([c:21]([c:18]([c:14]1[H:34])[H:38])[C@:27]2([C@:28]([C:26]2([H:48])[H:49])([H:50])[C:6](=[O:1])[N:22]([H:39])[c:20]3[c:15]([c:8]([n:2][c:9]([c:16]3[H:36])[H:30])[H:29])[H:35])[C:25]([H:46])([H:47])[O:5][c:19]4[c:10]([n:3][c:7]([n:4][c:11]4[C:24]([H:43])([H:44])[H:45])[C:23]([H:40])([H:41])[H:42])[H:31])[H:37])[H:33],28,-8.975833679477546,-5632.416416375276,12.01749448220562,SPICE-2.0.1/PubChem
104055185,C22H22N4O2,C22H22N4O2,[H:35][c:12]1[c:13]([c:17]([c:22]([c:18]([c:14]1[H:37])[H:41])[C:9]2=[C:7]([C:8](=[C:10]([N:26]2[C:28]([H:49])([H:50])[C:4](=[O:1])[N:25]([H:46])[C:5](=[N:2][H:29])[N:24]([H:44])[H:45])[c:23]3[c:19]([c:15]([c:21]([c:16]([c:20]3[H:43])[H:39])[O:3][C:27]([H:47])([H:48])[C:11](=[C:6]([H:30])[H:31])[H:34])[H:38])[H:42])[H:33])[H:32])[H:40])[H:36],28,-8.968787163170191,-5627.994663973764,16.439246883717715,SPICE-2.0.1/PubChem
135062816,C13H20O1,C13H20O1,[O:1]=[C:2]1[C:4]([C:7]([H:18])([H:19])[H:20])=[C:6]([C:11]([C:10]([C:5](=[C:3]([H:15])[H:16])[H:17])([H:27])[H:28])([H:29])[H:30])[C:14]([C:8]([H:21])([H:22])[H:23])([C:9]([H:24])([H:25])[H:26])[C:13]([H:33])([H:34])[C:12]1([H:31])[H:32],14,-5.580319225408061,-3501.7005368165874,0.0,SPICE-2.0.1/PubChem
135066720,C13H20O1,C13H20O1,[O:1]=[C:2]([C:5]1=[C:6]([H:18])[C:13]([C:11]([C:9]([C:4](=[C:3]([C:7]([H:19])([H:20])[H:21])[H:16])[H:17])([H:25])[H:26])([H:29])[H:30])([H:33])[C:14]([C:8]([H:22])([H:23])[H:24])([H:34])[C:12]([H:31])([H:32])[C:10]1([H:27])[H:28])[H:15],14,-5.57184759101699,-3496.3845099914806,5.316026825106746,SPICE-2.0.1/PubChem
135042262,C13H20O1,C13H20O1,[O:1]([C:9]([C:14]1([H:34])[C:11]([H:31])([H:32])[C:12]2([H:33])[C:3]([C:6]([H:18])([H:19])[H:20])=[C:5]([C:8]([H:24])([H:25])[H:26])[C:13]1([C:4](=[C:2]([H:16])[H:17])[C:7]([H:21])([H:22])[H:23])[C:10]2([H:29])[H:30])([H:27])[H:28])[H:15],14,-5.559302469397721,-3488.5123332692947,13.188203547292687,SPICE-2.0.1/PubChem
104080692,C21H23N3O3,C21H23N3O3,[H:29][c:7]1[c:10]([c:14]([c:17]([c:15]([c:11]1[H:33])[H:37])[C:22]([H:42])([H:43])[C@:25]2([C:5](=[O:2])[N:20]3[C@@:26]([C:24]([C@@:27]([C:23]3([H:44])[H:45])([H:50])[O:3][C:21]([H:40])([H:41])[c:16]4[c:12]([c:8]([c:6]([c:9]([c:13]4[H:35])[H:31])[H:28])[H:30])[H:34])([H:46])[H:47])([N:19]([C:4](=[O:1])[N:18]2[H:38])[H:39])[H:49])[H:48])[H:36])[H:32],27,-8.85614510934056,-5557.310761417185,0.0,SPICE-2.0.1/PubChem
104010556,C21H23N3O3,C21H23N3O3,[H:30][c:8]1[c:9]([c:13]([c:17]([c:14]([c:10]1[H:32])[H:36])[O:3][c:18]2[c:15]([c:11]([c:12]([c:16]([c:19]2[N:20]3[C:24]([C:26]([N:21]([C:27]([C:25]3([H:45])[H:46])([H:49])[H:50])[C:23]([H:41])([H:42])[C:7]4=[C:6]([C:5](=[N:1][O:2]4)[C:22]([H:39])([H:40])[O:4][H:28])[H:29])([H:47])[H:48])([H:43])[H:44])[H:38])[H:34])[H:33])[H:37])[H:35])[H:31],27,-8.724676812718599,-5474.8132220722355,82.49753934494947,SPICE-2.0.1/PubChem
104023123,C21H23N3O3,C21H23N3O3,[O:1]=[N+:20]([O-:2])[c:17]1[c:12]([H:34])[c:8]([H:30])[c:14]([O:3][C:23]([C:27]([C:26]([N:19]2[C:22]([H:39])([H:40])[C:4]3=[C:5]([N:18]([C:21]([H:36])([H:37])[H:38])[c:16]4[c:11]([H:33])[c:7]([H:29])[c:6]([H:28])[c:10]([H:32])[c:15]43)[C:24]([H:43])([H:44])[C:25]2([H:45])[H:46])([H:47])[H:48])([H:49])[H:50])([H:41])[H:42])[c:9]([H:31])[c:13]1[H:35],27,-8.711741339243872,-5466.696096047583,90.61466536960233,SPICE-2.0.1/PubChem
