seed,proposal_policy,mh_proposals,mh_accepted,mh_rejected,acceptance_rate,n,m,cyclomatic,E_3d,total_fdm,total_entangled,penalty_factor_3d,elapsed_sec
0,uniform,4,3,1,0.75,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.09695696830749512
1,uniform,13,7,6,0.5384615384615384,6,7,2,0.07872877983801817,3.7078272965260886,3.999740015431688,1.078728779838019,0.727135419845581
2,uniform,4,1,3,0.25,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.05535101890563965
3,uniform,16,10,6,0.625,9,10,2,0.07186175623362542,4.839731232037426,5.187522818070364,1.0718617562336255,1.135127067565918
4,uniform,4,3,1,0.75,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.0802304744720459
5,uniform,8,3,5,0.375,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.1565241813659668
6,uniform,6,3,3,0.5,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.08029365539550781
7,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.04951143264770508
8,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.05438113212585449
9,uniform,5,1,4,0.2,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.07745528221130371
10,uniform,4,3,1,0.75,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.07060575485229492
11,uniform,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0339353084564209
12,uniform,4,1,3,0.25,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.050084590911865234
13,uniform,3,1,2,0.3333333333333333,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.03022027015686035
14,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0520474910736084
15,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.05521392822265625
16,uniform,6,3,3,0.5,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.12961411476135254
17,uniform,6,3,3,0.5,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.11333179473876953
18,uniform,7,1,6,0.14285714285714285,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.10322833061218262
19,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.039180755615234375
20,uniform,11,10,1,0.9090909090909091,8,10,3,0.1066182352787805,4.4379402855069525,4.911105647020309,1.1066182352787801,0.7652945518493652
21,uniform,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03271985054016113
22,uniform,20,15,5,0.75,15,15,1,0.03283940376153921,6.079402218832586,6.279046162925626,1.0328394037615392,2.288158655166626
23,uniform,20,17,3,0.85,16,17,2,0.020841796794805086,6.044287296064814,6.1702611036588175,1.020841796794805,2.964580535888672
24,uniform,11,5,6,0.45454545454545453,4,5,2,0.05525789024227135,2.8443619162370184,3.0719343988834056,1.0800082722762148,0.30405616760253906
25,uniform,5,3,2,0.6,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.09998130798339844
26,uniform,13,7,6,0.5384615384615384,5,7,3,0.1457934001496628,3.3380136975487065,3.824674064260482,1.1457934001496632,0.6388192176818848
27,uniform,15,7,8,0.4666666666666667,5,7,3,0.14674452966121224,3.3380136975487065,3.8278489475981736,1.1467445296612118,0.6667358875274658
28,uniform,5,1,4,0.2,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.09418249130249023
29,uniform,7,5,2,0.7142857142857143,4,5,2,0.05952690734087161,2.8443619162370184,3.0136779844687633,1.0595269073408715,0.26016688346862793
30,uniform,14,10,4,0.7142857142857143,8,10,3,0.12650028693876178,3.9984461372973485,4.504250720974648,1.1265002869387621,0.945537805557251
31,uniform,4,1,3,0.25,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.0635988712310791
32,uniform,2,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.029320478439331055
33,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.05091357231140137
34,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.05012083053588867
35,uniform,3,1,2,0.3333333333333333,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.04821586608886719
36,uniform,4,1,3,0.25,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.050637006759643555
37,uniform,23,18,5,0.782608695652174,16,18,3,0.05956236309330641,6.078114059208498,6.440140895725558,1.0595623630932987,4.344555854797363
38,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03599047660827637
39,uniform,11,8,3,0.7272727272727273,7,8,2,0.14689329143286414,3.996518217092079,4.58357993227214,1.146893291432865,0.6148338317871094
40,uniform,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03348398208618164
41,uniform,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03370332717895508
42,uniform,10,7,3,0.7,6,7,2,0.0651891129522556,3.8678631792748646,4.120005748952486,1.065189112952256,0.5163135528564453
43,uniform,12,9,3,0.75,7,9,3,0.1985482930530048,3.996518217092079,4.79002008725095,1.198548293053005,0.8528933525085449
44,uniform,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.027749061584472656
45,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.06592631340026855
46,uniform,2,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.017316102981567383
47,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.05237102508544922
48,uniform,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.04996514320373535
49,uniform,7,3,4,0.42857142857142855,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.13108372688293457
0,ctt_biased,23,19,4,0.8260869565217391,18,19,2,0.00397234215580396,6.980429655980098,7.008158310968172,1.003972342155804,4.012533903121948
1,ctt_biased,16,11,5,0.6875,10,11,2,0.04421771082121534,5.5097294647962505,5.753357088973741,1.0442177108212154,1.633622646331787
2,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0648658275604248
3,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.05071854591369629
4,ctt_biased,4,3,1,0.75,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.08362221717834473
5,ctt_biased,3,1,2,0.3333333333333333,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.034876346588134766
6,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.04991436004638672
7,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.04999947547912598
8,ctt_biased,25,18,7,0.72,16,18,3,0.05265522510693457,7.1174763397534715,7.492247697484372,1.0526550900686074,4.414179086685181
9,ctt_biased,6,3,3,0.5,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.3321661949157715
10,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.07912445068359375
11,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.13758540153503418
12,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.15696120262145996
13,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.10947799682617188
14,ctt_biased,8,3,5,0.375,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.43782901763916016
15,ctt_biased,10,7,3,0.7,5,7,3,0.3481436266916267,3.3380136975487065,4.500121892159643,1.3481436266916276,1.0836682319641113
16,ctt_biased,29,25,4,0.8620689655172413,25,25,1,0.009153295874176503,6.7813913035142965,6.843463384553932,1.0091532958741767,22.39483141899109
17,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14058923721313477
18,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14875292778015137
19,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.10387969017028809
20,ctt_biased,29,27,2,0.9310344827586207,25,27,3,0.003181395335896038,6.943984070024853,6.966075628557741,1.0031813953358923,26.205137491226196
21,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1479659080505371
22,ctt_biased,27,22,5,0.8148148148148148,21,22,2,0.006464840848211845,6.7851317831183415,6.828996580230429,1.0064648408482242,18.4769127368927
23,ctt_biased,14,10,4,0.7142857142857143,9,10,2,0.048391384486190556,5.24237214665352,5.496057792821928,1.0483913844861907,2.399136543273926
24,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.10691237449645996
25,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1240994930267334
26,ctt_biased,28,27,1,0.9642857142857143,25,27,3,0.002648382199615056,6.8493632296953075,6.867602410277973,1.0026629016407818,24.755791902542114
27,ctt_biased,13,8,5,0.6153846153846154,6,8,3,0.15467209061206463,3.7696361440826194,4.352693647334688,1.1546720906120669,1.4944400787353516
28,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14321279525756836
29,ctt_biased,20,16,4,0.8,14,16,3,0.09064811189365046,5.0663589899844155,5.525614866601913,1.0906481118936482,7.305904150009155
30,ctt_biased,20,16,4,0.8,17,16,0,0.00035185632199594136,6.551705870089461,6.5540111292197105,1.000351856321996,5.990658521652222
31,ctt_biased,4,3,1,0.75,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.23638677597045898
32,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1208341121673584
33,ctt_biased,16,10,6,0.625,8,10,3,0.07576927587772996,4.675378232544256,5.0296282556786345,1.0757692758777297,2.4462690353393555
34,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.12149572372436523
35,ctt_biased,2,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.07346367835998535
36,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14950108528137207
37,ctt_biased,27,27,0,1.0,25,27,3,0.009400971767156418,7.013550880332734,7.079485074146227,1.0094009717671522,23.436760663986206
38,ctt_biased,29,27,2,0.9310344827586207,25,27,3,0.017811031064831884,7.159525400198151,7.2870439292558915,1.017811031029265,13.464831829071045
39,ctt_biased,4,1,3,0.25,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.07590103149414062
40,ctt_biased,17,11,6,0.6470588235294118,9,11,3,0.18462508386459694,5.42888162545283,6.431189350843021,1.1846250838645958,1.1808671951293945
41,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03340458869934082
42,ctt_biased,10,3,7,0.3,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.21984434127807617
43,ctt_biased,16,12,4,0.75,10,12,3,0.1670492262874308,5.035335545525016,5.876484452502568,1.1670492262874308,1.400109052658081
44,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03836774826049805
45,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.051348209381103516
46,ctt_biased,2,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.029915571212768555
47,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03828144073486328
48,ctt_biased,20,12,8,0.6,10,12,3,0.0809614577329827,5.847976914796645,6.321437650607412,1.0809614577329827,1.7333095073699951
49,ctt_biased,11,8,3,0.7272727272727273,6,8,3,0.19550468117343356,3.5441155712056793,4.237006755996047,1.1955046811734336,0.5336008071899414
